NAME	ADDRESS	DISTRICT	NUMBER	CATEGORY	COMMENTS	USED IN CASE	
Dale, E	64WC	WC	64				
Dallmeyer & Callahan	40SW	SW	40				
Dallow, Mary	45NW	NW	45				
Dally, Salvatore	92EC	EC	92				
Dalrymple, Randolph	80NW	NW	80				
D’Ambrosio, Antonio	45NW	NW	45		Italian		
Damery, Sir James	42WC	WC	42				
Dancel, Amy	71SW	SW	71				
Dannenberg, Hiram	11S	S	11				
Danridge, Erwin	78EC	EC	78				
Dant, Lionel	80EC	EC	80				
Danziger, Willie	49E	E	49				
Darbee, Walter	50E	E	50				
Darby, Michael	47E	E	47				
Darden, Lolly	60E	E	60				
Darold, Anna	90EC	EC	90				
Darte, Sir Wystan	56SW	SW	56				
Dauber & Dons	25E	E	25				
Davenport, Chandler	28WC	WC	28				
Davenport, Hiram	1NW	NW	1			2	
Davenport, J	4WC	WC	4				
Davids, Arthur	46SE	SE	46				
Davids, S	42SW	SW	42				
Davidson, Lloyd	13NW	NW	13				
Dawkins, Jemmy	27S	S	27				
De Keyser’s Royal Hotel	31EC	EC	31				
De Laurier, Clement	75SW	SW	75				
De Vries Diamond	34SW	SW	34				
Dean, Melodellen	62E	E	62				
Dearth, Bessie	25SW	SW	25			2,13	
Deaton, Aloysius	61SW	SW	61				
Debenham & Freebody	34NW	NW	34				
Dechant, Victor	51EC	EC	51				
Deckbar, Adrian	24SE	SE	24				
Deerman, John	81SE	SE	81				
Deetz, Edgar	40S	S	40				
Dekker, Emmett	20WC	WC	20				
Del Guerra, Hector	36WC	WC	36			1	
Delancy & Street	43E	E	43				
Delphine, Marguerite	11NW	NW	11				
Denham, Lord Astley	27NW	NW	27			7	
Dent & Sons Co	67WC	WC	67				
Harrison Beaufort	23WC	WC	23	DENTISTS	Listed as 82SE under name (home)		
A. A. Goldsmith	93NW	NW	93	DENTISTS	Listed as 1NW under name ("Goldsmith, A. A.")		
G. H. Jones	64WC	WC	64	DENTISTS	Listed as 88WC under name (home)		
Denton, Alice	59SW	SW	59				
Denton, John	59SW	SW	59				
Denton, Sir William	100SW	SW	100				
DeNunzio, H	3SW	SW	3				
Bon Marche	81NW	NW	81	DEPARTMENT STORES			
Cobay’s	6NW	NW	6	DEPARTMENT STORES	"Cobay, Ltd"		
Farmer & Rogers	90NW	NW	90	DEPARTMENT STORES			
Gamage’s	61EC	EC	61	DEPARTMENT STORES			
Hanover House	82NW	NW	82	DEPARTMENT STORES			
Liberty & Co	91NW	NW	91	DEPARTMENT STORES			
Marshall & Snelgrove’s	33NW	NW	33	DEPARTMENT STORES			
Peter Robinson’s	71NW	NW	71	DEPARTMENT STORES			
Selfridge’s	74NW	NW	74	DEPARTMENT STORES			
Tendwell & Krebs	27EC	EC	27	DEPARTMENT STORES			
Whiteley’s	71EC	EC	71	DEPARTMENT STORES			
Deptford Park	62S	S	62				
Derbin, Albert	15SE	SE	15				
Derbin, Christofer	61EC	EC	61				
Derbin, Penelope	15SE	SE	15				
Derby, Lord	100SW	SW	100				
Derrick, Vincent	90EC	EC	90				
Barker’s	66WC	WC	66	DETECTIVE AGENCIES			
Francis Baird	25EC	EC	25	DETECTIVE AGENCIES	"Francis Baird Agency"		
Martin Hewitt	77SE	SE	77	DETECTIVE AGENCIES			
Moser’s Agency	18WC	WC	18	DETECTIVE AGENCIES	"Moser’s Detective Agency"		
Paschal: Investigations	78WC	WC	78	DETECTIVE AGENCIES			
Pinkerton Internat’l	24NW	NW	24	DETECTIVE AGENCIES	"Pinkerton International"		
Tod’s Private Enq	84SW	SW	84	DETECTIVE AGENCIES			
DeVecchio, Dominic	15E	E	15				
Devendorf, Heinz	83NW	NW	83				
Devine, Andrew	2WC	WC	2				
Devoe, Hacken	22S	S	22				
Dew, Sammy	1SE	SE	1				
Dexheimer, Ezra	39S	S	39				
Dhami, Harish	5S	S	5		Arabic		
Diaz, Hermosa	32S	S	32				
Dickert, Daniel	88NW	NW	88				
Dickey, Gordon	41NW	NW	41			10	
Diebold, Celeste	59E	E	59				
Diehl, Fair	10WC	WC	10				
Dietmeyer, Malachi	41S	S	41				
Diggs, Harold	8WC	WC	8		Listed as 33WC under SOLICITORS (office)	9	
Dimsdale, Clara	82SE	SE	82				
Dint, Allcroft & Co	25EC	EC	25				
Dinwiddie, Crutcher	18WC	WC	18				
Diogenes Club	8SW	SW	8		(Clubs)		
Diradoni, Agostino	13S	S	13				
Dirge & Dirge	69WC	WC	69				
Dirk, Stephen	11SE	SE	11			3	
Diskin, Sybil	19S	S	19				
Disraeli, Benjamin	14SW	SW	14				
Dixon, Evangeline	41NW	NW	41				
Dobbs, Diane	52E	E	52				
Dobbs, Jay	52E	E	52				
Dobell Books	66WC	WC	66				
Dockey, Houton	25S	S	25				
Commercial Docks	66S	S	66	DOCKS			
East India Docks	99E	E	99	DOCKS			
Limehouse	96E	E	96	DOCKS			
London Docks	94E	E	94	DOCKS			
Outer Docks	98E	E	98	DOCKS	(Not in 2012 edition, but is in 2016.)		
St. Katherine Docks	93E	E	93	DOCKS			
Shadwell New Basin	95E	E	95	DOCKS			
West India Docks	97E	E	97	DOCKS			
Agar, Dr. Moore	93NW	NW	93	DOCTORS	Listed as 43NW under name (home)	11	
Ainstree, Dr. A	32WC	WC	32	DOCTORS	Listed as 24NW under name (home)	8,13	
Bestianelli, Dr.	39EC	EC	39	DOCTORS	Listed as 50EC under name (home)		
Fell, Dr. Gideon	55WC	WC	55	DOCTORS			
Gibilsco Dr.	46SE	SE	46	DOCTORS	Listed as 67WC under name (home)		
Harringan, Dr. M	35E	E	35	DOCTORS			
Horowitz, Dr. J	9S	S	9	DOCTORS			
Jackson, Dr.	64EC	EC	64	DOCTORS		11	
Mason, Dr. Jerrold	29WC	WC	29	DOCTORS	Listed as 12NW under name (home)		
Richards, Dr.	83WC	WC	83	DOCTORS			
Saari, Dr. Ilona	3S	S	3	DOCTORS			
Trevelyan, Dr. Percy	19SW	SW	19	DOCTORS	Listed as 4WC under name (home)	2	
Verner, Dr.	60SE	SE	60	DOCTORS			
Watson, Dr. John H	42NW	NW	42	DOCTORS			
Dodd, James M	3NW	NW	3				
Dodson, Gary	65E	E	65				
Dodson, Roy	48EC	EC	48				
Dodwell, H. M.	47SE	SE	47				
Dolamore & Co	36SE	SE	36				
Dolin, Thomas	46NW	NW	46				
Dols, Herbert	19WC	WC	19				
Dombrowski, Sasha	21SE	SE	21			7	
Dominguez, Inez	80NW	NW	80				
Dominion Line	71E	E	71				
Donald Hoolahan & Co	54E	E	54				
Donohue, James	63EC	EC	63				
Donottoo, Tommaso	33E	E	33				
Doolittle, Clifford	22WC	WC	22				
Dorak, A	20SE	SE	20				
Dorfman, Benjamin	48S	S	48				
Dorking, Colonel	3NW	NW	3				
Dornfeld, Jeremiah	64E	E	64				
Dornin, Clive	34NW	NW	34				
Dornin, Hays	60NW	NW	60				
Dottin, Able Rouse	100SW	SW	100				
Doty, Eric	19SE	SE	19				
Dover Rooms	11SE	SE	11				
Dowd, Elwood P	67WC	WC	67				
Downey, Lee	23WC	WC	23				
Drabik, Elizabeth	21S	S	21				
Drage, Wilbur	31WC	WC	31				
Dratt, Maude	18SE	SE	18				
Driscoll, Jared	10EC	EC	10				
Driver’s Oyster Bar	72WC	WC	72				
Drummond’s Bank	26WC	WC	26				
Drury Lane Theatre	31WC	WC	31				
Duckett & Co	27EC	EC	27				
Dudley, Peter	2SE	SE	2			8	
Dudoroff, Vasili	89EC	EC	89		Russian		
Duffield, Eugene	58E	E	58				
Duggan, John	48SE	SE	48				
Dumont, Delores	42WC	WC	42				
Duncan, Bobby	83E	E	83				
Duncan, Sir W.C.	100SW	SW	100				
Dunham, Tracy	27EC	EC	27				
Dunhill’s	86SW	SW	86				
Dunsmuir, Chaney	82NW	NW	82				
Dunsworthy, Lady Rosanna	43SW	SW	43				
Duong, Chen Han	30WC	WC	30		Asian		
Dupuy, David	71E	E	71				
Durand, Jacques	61NW	NW	61				
Durgin, Peter	28S	S	28				
Durkee, Tuttle	24WC	WC	24				
Dutcher, Van	30WC	WC	30				
Duttle, Rory	25WC	WC	25				
Duval, Irene	30S	S	30				
Duxbury, Michael	64EC	EC	64				
Dyson, Robby	26WC	WC	26				
Dytch, Whilma	48SE	SE	48				
E. M. Tuttle & Co	60S	S	60				
Eakin, Leroy	20SE	SE	20			6	
Early, Warren	4EC	EC	4			10	
Eason, Byers	3EC	EC	3			3	
Eason, Tyler	7S	S	7				
East India Docks	99E	E	99				
Eastham, Netty	54E	E	54				
Eaton, Julius	77SE	SE	77				
Ebert, Kingsley	49SE	SE	49				
Ebner, Melvin	47S	S	47				
Eccles, John Scott	92NW	NW	92				
Eckermann, A	2WC	WC	2				
Eckers, Maxwell	88EC	EC	88				
Eckersley, Robert	27WC	WC	27				
Eckstein, Eleazar	38S	S	38				
Eckstrom, Carl	3WC	WC	3				
Eddison & Lampley	69E	E	69				
Eddy, Collier	2SE	SE	2			3	
Edelstein, Sidney	34S	S	34				
Edgerton, James	84WC	WC	84				
Edgewood, Donald	67E	E	67				
Eddington Ltd	42S	S	42				
Edison & Swan Electric	14SE	SE	14				
Edwards, Barbara	34NW	NW	34				
Edwards, George	100SW	SW	100				
Edwards, Marcy	26SE	SE	26			3	
Edwards, Owen	62NW	NW	62				
Egan, John	47NW	NW	47			1	
Egelhoff, Ivan	2S	S	2		Russian		
Eggering, Lisa	19WC	WC	19				
Eggelston, Marion	53E	E	53				
Eichen, Maximilian	38WC	WC	38				
Einhorn, Otto	57E	E	57		German		
Eipper, Stefan	55E	E	55		German		
Eirstedt, Greta	29S	S	29		German		
Eiselman, Isabel	16S	S	16				
Eisenberg, Jonah	60S	S	60				
Eldred, Louise	92EC	EC	92				
Eldredge, Nancy	12E	E	12				
Elephant & Castle Theatre	13SE	SE	13				
Elephant’s Nest	25S	S	25				
Elerick, Quincy	14S	S	14				
Elfman, Ingrid	97EC	EC	97				
Elgin, Sir Giles	66SW	SW	66				
Eliot, Sir Edward	100SW	SW	100				
Elizondo, Alberto	36S	S	36				
Elkind, Guy	39WC	WC	39				
Elliot & Fry	30SW	SW	30				
Elliot, Jonathan	63NW	NW	63				
Ellis, Henry	30EC	EC	30				
Ellison & Hargrave	63WC	WC	63				
Ellsworth & Brach	7S	S	7				
Elmsley, George	87EC	EC	87				
Elmwood, Glenda	27SW	SW	27				
Elston, Howard	21E	E	21				
Emard, Cornelia	56SW	SW	56				
American Embassy	18SW	SW	18	EMBASSIES			
China Legation	38NW	NW	38	EMBASSIES			
French Embassy	59SW	SW	59	EMBASSIES			
German Embassy	9SW	SW	9	EMBASSIES			
Russian Embassy	54SW	SW	54	EMBASSIES			
Spanish Embassy	38SW	SW	38	EMBASSIES			
Embree, Joanne	18S	S	18				
Embry, Cynthia	2WC	WC	2				
Emerson & Roth	96WC	WC	96				
Emmitts, Hugh	50SE	SE	50				
Emmons, Jerome	61E	E	61				
Endicott, Sir Walter	2NW	NW	2				
Endzweig, Gerd	79E	E	79				
Engelhard, Janet	11WC	WC	11				
Engels, Jewell	47EC	EC	47				
Engels, Wallace	50SE	SE	50				
Englehart, Vivian	70SW	SW	70				
Enloe, Gordon	66EC	EC	66				
Enokido, Hiroyuki	3EC	EC	3		Asian		
Enos, Percy	65NW	NW	65				
Enright, Marlowe	7WC	WC	7				
Enright, Sylvia	51SE	SE	51				
Enriquez, Jose	86WC	WC	86				
Eppler, Claus	51E	E	51		German		
Epps Cocoa	76NW	NW	76				
Epsoms, Rory	3NW	NW	3				
Epstein, Aaron	52S	S	52				
Epstein, Jacob	18SE	SE	18			7	
Erez, Benny	16WC	WC	16				
Erfan, Bahram	67EC	EC	67				
Ergas, Katharine	4E	E	4				
Erickson, Marc	66NW	NW	66				
Erlandsson, Erica	28WC	WC	28		Nordic		
Erlanger, Theodore	86EC	EC	86				
Erskine, Ralph	24S	S	24				
Ervin, Tuttey	44E	E	44				
Escobedo, Juan	30SE	SE	30			7	
Escobedo, Marco	17SE	SE	17			7	
Esher, Levi	29EC	EC	29				
Eshleman, Jotham	17S	S	17				
Eskam, Bruce	1WC	WC	1				
Eskridge, Marcellus	12S	S	12				
Essaff, Grace	67NW	NW	67				
Essex, Allen	2SW	SW	2		Bug? Same as Langdale Pike		
Essex, Michael	19SW	SW	19			6	
Eubanks, Annette	52SE	SE	52				
Euing, Randolph	29WC	WC	29				
Eustace, Montgomery	39NW	NW	39			1	
Euston Station	52WC	WC	52				
Euston, Lord	56NW	NW	56				
Evening News Standard	9NW	NW	9		Corrected from "Evenin News Standard"		
Evenson & Co	22NW	NW	22				
Everley Bros., Ltd	96EC	EC	96				
Eversole, Dean	50S	S	50				
Evitts, Allie	83SE	SE	83				
Ewart, Alan	23E	E	23				
Ezzard, Charles	77SE	SE	77				
Fabbrini, Iacopo	6EC	EC	6				
Faberge, Hercule	35WC	WC	35		French		
Fabian, Brian	37WC	WC	37				
Fadeff, Judith	69EC	EC	69				
Fahey, Kevin	73SE	SE	73				
Fahey, Paul	54SE	SE	54				
Fahmi, Akram	37WC	WC	37		Arabic	5,12	
Fain, Dean	55SE	SE	55				
Fair, Donald	39WC	WC	39				
Fairbanks, Sir Nathaniel	27SW	SW	27				
Fairchild, Patricia	46SW	SW	46				
Fairhaven, Tilly	2S	S	2				
Falco, Antonio	68EC	EC	68				
Falik, Rudi	11E	E	11				
Fallen, Jeanne	44SW	SW	44				
Falletti, Ignario	31E	E	31				
Fallon, Verner	41WC	WC	41				
Fallowfield & Hopkins	47SE	SE	47				
Fan, Chui-Yan	19SE	SE	19		Asian		
Fannel, Derek	84E	E	84				
Fanning, Ella	90NW	NW	90				
Fanta, Grace	47WC	WC	47				
Fanucci, Angelica	26S	S	26				
Farabee, Michael	60S	S	60				
Farber, Jeffery	50EC	EC	50			7	
Fargo, Ellen	64E	E	64				
Farley, Florence	39WC	WC	39				
Farley, Harold	39WC	WC	39				
Farley, Laura	50WC	WC	50				
Farmer, Edward	33WC	WC	33			6	
Farmer, Reginald	42WC	WC	42				
Farmer & Rogers	90NW	NW	90		(Department stores)		
Farquhar, Morley	46WC	WC	46				
Farringdon, Ward	100SW	SW	100				
Farrington, Wallace	33S	S	33				
Farrow, Randall	63E	E	63				
Farwell, Anne	55WC	WC	55				
Fassett, Maurice	8E	E	8				
Faux, Geraldine	38WC	WC	38				
Favale, Roberta	25E	E	25				
Faversham, F.V.	23NW	NW	23		Listed as 32WC under BARRISTERS (office)		
Fawcett, Valerie	27S	S	27				
Featherstone, Banks	24SW	SW	24			9	
Fedorkin, Nicholas	58SE	SE	58				
Fehr, Juergen	46S	S	46		German		
Feigenbaum, Roger	51S	S	51				
Fein, Sean	61SE	SE	61				
Feinberg, James	78E	E	78				
Feiner, Elliot	29E	E	29				
Feingold, Ephraim	30S	S	30				
Feld, Lawrence	53WC	WC	53				
Felder Ltd	40WC	WC	40				
Feldmann, Joachim	53S	S	53				
Felker, Harry	32E	E	32				
Felker, Zack	58S	S	58				
Fell, Dr. Gideon	55WC	WC	55				
Fendel, James	74SE	SE	74				
Fenix, Montgomery	85WC	WC	85				
Fenlon, Stanley	70EC	EC	70				
Fenner, Sadie	1E	E	1				
Fenwick, Louise	9NW	NW	9			5	
Fenwick, Merrill	9NW	NW	9			5	
Ferdun, Stevie	41E	E	41				
Fergus & Co	6E	E	6				
Ferguson & Muirhead	16EC	EC	16				
Ferguson, Douglas	54WC	WC	54				
Ferguson, Robert	3EC	EC	3				
Ferk, Hugh	28SW	SW	28				
Fernbach, Ellis	48WC	WC	48				
Ferris, Arthur	56WC	WC	56				
Fewell, Glenn	71E	E	71				
Fickert, Newton	19SW	SW	19				
Ficklin, Maxine	27SE	SE	27				
Fiddyment, Clive	85E	E	85				
Field, Christopher	57WC	WC	57				
Field, Edna	100SW	SW	100				
Field, Roland	89WC	WC	89				
Fillmore, Theobald	87WC	WC	87				
Finck, Graham	58WC	WC	58				
Finley, Ralph	96WC	WC	96				
Finsterwald Florist	46WC	WC	46				
Finwall, Sir Chester	30SE	SE	30				
Fischer, Jennifer	1EC	EC	1				
Fitch, Lord Malcolm	39SW	SW	39			8	
Fitzpatrick, Kennedy	20SE	SE	20				
Flack, Rowena	15S	S	15				
Flagg, Theodore	73E	E	73				
Flanagan, Kevin	58S	S	58				
Fletcher & Stuart	37S	S	37				
Flocker, Sid	8S	S	8				
Finsterwald Florists	46WC	WC	46	FLORISTS			
Grayson’s Nursery	50EC	EC	50	FLORISTS			
Mayall’s	9WC	WC	9	FLORISTS	Listed as "Mayall & Co" under the name.		
Stirges Florist	31SW	SW	31	FLORISTS			
Waldenboch Florist	24NW	NW	24	FLORISTS			
Fluehr, Gabrielle	72SW	SW	72				
Fogerty, Josh	28E	E	28				
Fogerty, Lauri	51SW	SW	51				
Fogerty, Sean	94EC	EC	94				
Fong, Kim Quon	40SW	SW	40		Asian		
Football Association	55NW	NW	55				
Forbes, Michael	22SE	SE	22				
Forrest, Christine	47NW	NW	47				
Forster, Mark	52SW	SW	52				
Forsyth, Patricia	1WC	WC	1				
Forsyth, Ward	82EC	EC	82				
Fortner, Micah	83SE	SE	83				
Foskett & Krug	54S	S	54				
Foster & Nielson	77SW	SW	77				
Foster, Sandra	56E	E	56				
Fox, C. W.	38NW	NW	38				
Foxcroft, Lionel	46EC	EC	46			6	
Francis Baird Agency	25EC	EC	25				
Frederick Warne & Co	71WC	WC	71				
French Embassy	59SW	SW	59				
Fribourg & Treyer	88SW	SW	88		(Tobacconists)		
Friends of Baritsu	83WC	WC	83				
Frikkers, Ernie	44E	E	44				
Fry & Sons, J.S.	95EC	EC	95				
Fry, Elizabeth	100SW	SW	100				
Fry, Joseph	100SW	SW	100				
Arctic Fur Store	68WC	WC	68	FURRIERS			
Debenham & Freebody	34NW	NW	34	FURRIERS			
Jeff & Harris	24NW	NW	24	FURRIERS			
National Fur Store	64WC	WC	64	FURRIERS			
Fussier, Ashley	68NW	NW	68				
Fussier, Noelle	31NW	NW	31				
G. Vickers	95WC	WC	95				
G. H. Jones	88WC	WC	88		Listed as 64WC under DENTISTS (office)		
Gaber, Jeffrey	85EC	EC	85				
Gabow, Stephen	23SE	SE	23				
Gabriel, Marie	61WC	WC	61				
Gage, Ernest	81WC	WC	81				
Gaillard, Dominic	4NW	NW	4				
Galen, Clement	71EC	EC	71				
Gallagher, Michael	84EC	EC	84				
Gamage’s	61EC	EC	61				
Gamble, Sandra	8SE	SE	8			6	
Gannon, Betty	15E	E	15				
Garcia, Leticia	2SE	SE	2			7	
Gardner, Alice	3NW	NW	3				
Garey, Sir Miles	55SW	SW	55				
Garff, Valentine	2E	E	2				
Garlow, Julia	61E	E	61				
Garraway’s Coffee House	85EC	EC	85				
Garrett, Alfie	38E	E	38				
Garrideb, Nathan	59WC	WC	59				
Garrison, Joseph	6E	E	6				
Garthwait, Evan	42E	E	42				
Gartling’s Art Salon	75WC	WC	75				
Gartmore & Pearce	21EC	EC	21				
Gas Works	90E	E	90				
Gaskell, Isadora	73SW	SW	73			13	
Gass & Co	42EC	EC	42				
Gassert, Sidney	65SW	SW	65				
Gates, Delmar	41SE	SE	41				
Gates, Horatio	11E	E	11				
Geffen, De Witt	74SW	SW	74				
Gelder & Co	81E	E	81				
Gendell, Thornton	60WC	WC	60				
Gentry, David	5NW	NW	5				
George & Vulture	93WC	WC	93				
Gerhardt, Otto	7EC	EC	7		German		
German Embassy	9SW	SW	9				
Gerstbacher, Hans	69NW	NW	69		German		
Gervais, Annette	65WC	WC	65				
Getz, Stanley	22S	S	22				
Ghandour, Faith	19EC	EC	19				
Gharib, Daghi	31SE	SE	31		Arabic		
Ghirardi, Lotario	10S	S	10				
Giannini, Emilio	8S	S	8				
Gibbons, Andrew	70NW	NW	70				
Gibbons, John	5NW	NW	5				
Gibbons, Laurette	42SE	SE	42				
Gibilsco, Dr.	67WC	WC	67		Listed as 46SE under DOCTORS (office)		
Giblin & Marlowe	39S	S	39				
Giddis, Rachel	95EC	EC	95				
Gifford, Fred	1S	S	1				
Gilbert & Field	41EC	EC	41				
Gilbert, James William	100SW	SW	100				
Gilbert, Russell	68WC	WC	68				
Gilcrest, Kennon	5E	E	5				
Giles, Timothy	63SE	SE	63				
Gilford, Irma	48S	S	48				
Gillette, William	71NW	NW	71				
Gillot & Sons	89EC	EC	89				
Gillow, D	63SE	SE	63				
Gilmore, Mildred	69WC	WC	69				
Gilton, Hoover	64SE	SE	64				
Ginn, Tong Lai	94WC	WC	94		Asian		
Giordano, Mario	38S	S	38		Italian		
Giraud, Roger	4EC	EC	4		French		
Girdwood & Cole	1S	S	1				
Giusti, Antonio	44S	S	44		Italian		
Givens, Bernadette	45S	S	45				
Glabe, Ned	80SE	SE	80				
Gladstone, William	43SE	SE	43				
Glasenapp, Joseph	94WC	WC	94				
Glassberg, Nehemiah	55S	S	55				
Glasspole & Castley	38S	S	38				
Gledhill & Co	49E	E	49				
Glenwood, Paulette	22WC	WC	22				
Glickman, Rubin	33S	S	33				
Glidewell, Grover	42S	S	42				
Globe Restaurant	19NW	NW	19				
Glover, Bernadette	46SE	SE	46				
Glover, Maura	18WC	WC	18				
Godbolt, Taylor	46EC	EC	46				
Godfrey, Daniel	51SE	SE	51				
Godfrey, David	73SW	SW	73				
Goftman, Moses	40S	S	40				
Goldberg, Suzanne	72NW	NW	72				
Goldblatt, Thomas	35E	E	35		German		
Goldfire, George Taubman	82WC	WC	82				
Goldini’s Restaurant	48SW	SW	48				
Goldsmith & Olivier	2S	S	2				
Goldsmith, A. A.	1NW	NW	1		Listed as 93NW under DENTISTS (office)		
Gong, Wai Fong	5SE	SE	5		Asian	7	
Gooche, Joan	81SE	SE	81				
Goode, Charles	25SW	SW	25			9	
Goode, Emily	25SW	SW	25				
Goodenough, Garnett	64E	E	64				
Goodfellow, Robin	72EC	EC	72				
Goodwin, Lord Harold	73NW	NW	73				
Goodyer & Spink	29NW	NW	29				
Gordon, Clive	83EC	EC	83				
Gore, Sadie	87WC	WC	87				
Gorgiano, Giuseppe	23SE	SE	23		Italian		
Gorlinski & Son	64E	E	64				
Gormley, Jack	21E	E	21				
Gorski, Natasha	48SW	SW	48		Russian	7	
Goslow, Libby	30WC	WC	30				
Gosnell, Gilberta	49S	S	49				
Gotelli, Sylvanus	54S	S	54				
Gott, Lazarus	28S	S	28				
Gough, Albert	8E	E	8				
Gould & Gould	56S	S	56				
Gould & Son	68EC	EC	68				
Gould, Michael	100SW	SW	100				
Gould, Sabina	100SW	SW	100				
Gould, Stanley	100SW	SW	100				
Gove, P. B.	54SE	SE	54				
Government Office	14SW	SW	14	GOVERNMENT OFFICES	No matching crossreference.		
Colonial Office	91SW	SW	91	GOVERNMENT OFFICES	No matching crossreference.		
Foreign Office	92SW	SW	92	GOVERNMENT OFFICES	No matching crossreference.		
Home Office	93SW	SW	93	GOVERNMENT OFFICES	No matching crossreference.		
India Office	94SW	SW	94	GOVERNMENT OFFICES	No matching crossreference.		
Printing Office	95SW	SW	95	GOVERNMENT OFFICES	No matching crossreference.		
Grabowsky, Josef	74NW	NW	74				
Grady, Charles	4NW	NW	4				
Grady, Maya	4NW	NW	4				
Grady, Myra	19SW	SW	19				
Grady, Teofista	4NW	NW	4				
Graf, Horst	83EC	EC	83				
Graff, Gordon	4E	E	4				
Graham, Patrick	26EC	EC	26				
Grand Hotel	22WC	WC	22				
Grant Arms Co	5EC	EC	5				
Grasso, Hope	31WC	WC	31				
Grattan, Harley	19EC	EC	19				
Graven, Lily	60S	S	60				
Gray, Mercedes	31S	S	31				
Gray, Philip	22EC	EC	22				
Gray’s Inn	10WC	WC	10				
Grayson’s Nursery	50EC	EC	50				
Great Scotland Yard	85SW	SW	85				
Great Synagogue	21SW	SW	21				
Green Park	97SW	SW	97				
Green, The Hon. Philip	34SW	SW	34				
Greenwich Park	63S	S	63				
Greenwood, Victor	25EC	EC	25				
Gregg, Linda	14E	E	14				
Gregory & Co	79NW	NW	79		"Gregory & Company" under CARPETS.		
Gregory, Inspector	47WC	WC	47				
Gregson, Tobias	7NW	NW	7				
Gresham, Isabel	40EC	EC	40				
Griggs, Jimmy	29E	E	29				
Griggs, Phoebe	59S	S	59				
Gross & Hankey’s	90NW	NW	90		(Jewelers)		
Grosvenor Hotel	69SW	SW	69				
Grosvenor Mansions	70SW	SW	70				
Ladies Couriers	16NW	NW	16	GUIDES			
Miss L. E. Elwin	31SE	SE	31	GUIDES			
Guildhall	24EC	EC	24				
Guildhall Free Library	39EC	EC	39				
Guilfoyle, Marshall	26NW	NW	26			8	
Guion Steamship Co	53E	E	53				
Gunderson, Wilkie	50WC	WC	50		Listed as 76WC under SOLICITORS (office)		
Colt’s Fire Arms Co	12NW	NW	12	GUNSMITHS			
Grant Arms Co	5EC	EC	5	GUNSMITHS			
Rigby & Co	1SW	SW	1	GUNSMITHS			
S. Goff	28WC	WC	28	GUNSMITHS			
Westley, Richards	31NW	NW	31	GUNSMITHS			
Winchester Arms Co	21EC	EC	21	GUNSMITHS			
Gupps & Schowalter	77E	E	77				
Gupta, Brijen	24SE	SE	24				
Gurney, Henry	100SW	SW	100				
Gwire, Linda	96WC	WC	96				
Gwydyr House	74SE	SE	74				
H. Laurence Opticians	31NW	NW	31				
H. J. Nicoll & Co	36WC	WC	36				
Haag, Edward	41S	S	41				
Hackel, Maisie	29E	E	29				
Hacker, Constance	47S	S	47				
Hackney, Graham	73EC	EC	73				
Haddad, Munir	48EC	EC	48				
Haddow, Murdock	30S	S	30				
Hadfield, Raymond	82EC	EC	82				
Hagen, Das	20EC	EC	20				
Hagman, Charles	67E	E	67				
Hahn, Russell	68E	E	68				
Hale, Ronald	7E	E	7				
Haley’s	47WC	WC	47		Bug? Listed as 57WC under Baths.		
Hall, Edward	36EC	EC	36				
Hall, Robert	44SE	SE	44				
Hall, Trevor	75NW	NW	75				
Halle, Sir Charles	44SW	SW	44				
Hallgren, May	54S	S	54				
Halliday’s Private Hotel	15SW	SW	15				
Hallin, Hardy	22E	E	22				
Halliwell, Lester	57EC	EC	57				
Hallmark, Edward	33NW	NW	33				
Halsey, Rowena	20WC	WC	20				
Hamblin, Marge	40S	S	40				
Hamburg-Amerika Co	28E	E	28				
Hamilton, Emma	5EC	EC	5				
Hamilton, George	5EC	EC	5			9	
Hamilton, Sir Robert	49SE	SE	49				
Hamlets Cemetery	72E	E	72				
Hancock, Sir Everard	74SW	SW	74				
Hancock, Sir William	77NW	NW	77				
Handel, Griselda	53S	S	53				
Handy, Margot	48WC	WC	48				
Hanford, Radley	48S	S	48				
Hanks, Nancy	24SE	SE	24				
Hanley, A	21SW	SW	21				
Hannant, Abigail	20EC	EC	20				
Hanover House	82NW	NW	82				
Happ, Johnny	50E	E	50				
Harbinger, Randolph	78SE	SE	78				
Harbuck & Stram	27S	S	27				
Harbuck, M	55SE	SE	55			11	
Harcourt, Maurice	52SE	SE	52				
Hardcase, Seymour	40EC	EC	40				
Hardesty, Sir Montague	52SW	SW	52				
Harding Bros	89SE	SE	89				
Harding, T	42EC	EC	42				
Harding, W	1SE	SE	1				
Hardinge, H. C.	12SW	SW	12			2	
Hardy, Andy	41WC	WC	41				
Hardy, Sir Charles	19SW	SW	19				
Hardy, Jean	86E	E	86				
Hardy, Sir John	28NW	NW	28				
Hargrove, Edward	73E	E	73				
Harker, Horace	78NW	NW	78				
Harlock, McKinley	57E	E	57				
Harper, Benjamin	70E	E	70				
Harrigan, Dr. M	35E	E	35				
Harrington House	10SW	SW	10				
Harrison, Michael	67SW	SW	67				
Harrod, C	34SW	SW	34				
Hartsfield, B	5NW	NW	5				
Hastings, Harry	4S	S	4				
Hatchard’s	63NW	NW	63		Corrected from "Hatchards" (Booksellers)		
Hatherley, Victor	53NW	NW	53				
Havercamp, Lyman	29S	S	29				
Hawkes, Howey	37S	S	37				
